"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","153","GET /status/201 возвращает HTTP 201","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","154","GET /status/422 возвращает HTTP 422","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем отдельную кнопку 204 в блоке статус-кодов.","177","Кнопка 204 показывает ответ без тела","tests.ui","2026-05-08","passed","2026-05-08","","test_status_buttons","",""
"Проверяем удаление по id, которого нет в текущей сессии.","152","DELETE /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","152","GET /status/500 возвращает HTTP 500","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем ошибку частичного обновления по несуществующему id.","154","PATCH /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","152","GET /status/403 возвращает HTTP 403","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что необязательное поле role заполняется значением по умолчанию.","153","POST /users без role создает пользователя с ролью по умолчанию","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","154","GET /status/401 возвращает HTTP 401","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем стартовое состояние учебной сессии: API отдаёт список пользователей, корректный session id и ожидаемые demo id.","152","GET /users возвращает 3 демо-пользователя для новой сессии","tests.api","2026-05-08","passed","2026-05-08","","test_users_list","",""
"Проверяем успешное создание пользователя через API.","155","POST /users создаёт пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем отдельную кнопку 422 в блоке статус-кодов.","542","Кнопка 422 показывает ошибку клиента","tests.ui","2026-05-08","passed","2026-05-08","","test_status_buttons","",""
"Проверяем, что PATCH имени не меняет email и role.","306","PATCH /users/{id} изменяет только переданные поля","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","152","GET /status/503 возвращает HTTP 503","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем учебную демонстрацию метода HEAD.","153","HEAD /users возвращает 200 без тела ответа","tests.api","2026-05-08","passed","2026-05-08","","test_http_methods","",""
"Проверяем атомарное UI-действие DELETE и статус 204.","1937","DELETE /users/{id} удаляет пользователя через UI","tests.ui","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","152","GET /status/200 возвращает HTTP 200","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","155","GET /status/404 возвращает HTTP 404","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
