"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/500 возвращает HTTP 500","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
"Проверяем ошибку чтения пользователя, которого нет в сессии.","24","GET /users/{id} возвращает 404 для несуществующего пользователя","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_read","",""
"Проверяем стартовое состояние учебной сессии: API отдаёт список пользователей, корректный session id и ожидаемые demo id.","25","GET /users возвращает 3 демо-пользователя для новой сессии","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_list","",""
"Проверяем отдельную кнопку 422 в блоке статус-кодов.","308","Кнопка 422 показывает ошибку клиента","tests.ui","Fri May 08 11:46:17 MSK 2026","passed","Fri May 08 11:46:17 MSK 2026","","test_status_buttons","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","26","GET /status/422 возвращает HTTP 422","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
"Проверяем учебную демонстрацию метода HEAD.","97","HEAD /users возвращает 200 без тела ответа","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_http_methods","",""
"Проверяем создание пользователя из формы и состояние кнопок GET/PUT/PATCH/DELETE после успешного POST.","1661","POST /users создаёт пользователя, подставляет id и включает CRUD-кнопки","tests.ui","Fri May 08 11:46:18 MSK 2026","passed","Fri May 08 11:46:19 MSK 2026","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/403 возвращает HTTP 403","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
"Проверяем, что PATCH имени не меняет email и role.","51","PATCH /users/{id} изменяет только переданные поля","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/301 возвращает HTTP 301","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/302 возвращает HTTP 302","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","28","GET /status/401 возвращает HTTP 401","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","25","GET /status/404 возвращает HTTP 404","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
